BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460641.873546,0.99611,0.00374,1.0732,1.54,-1.23,15.16,13974
2460641.874996,0.99751,0.00372,1.0701,0.20,-0.74,14.73,14833
2460641.876446,0.99603,0.00373,1.0671,1.31,-1.13,14.79,15060
2460641.877895,0.99544,0.00372,1.0642,0.13,-0.41,14.84,13661
2460641.879332,1.00083,0.00375,1.0614,1.56,-1.39,15.53,12660
2460641.880781,0.99699,0.00374,1.0586,0.31,-1.05,15.29,12474
2460641.882230,0.99559,0.00374,1.0560,0.64,-0.42,15.24,12571
2460641.883679,0.99547,0.00372,1.0534,0.57,-1.01,15.09,13453
2460641.885128,0.99715,0.00372,1.0509,-0.01,-0.27,14.98,14255
2460641.886566,0.98972,0.00370,1.0485,1.42,-0.98,14.82,14786
2460641.888015,0.98901,0.00370,1.0461,-0.17,0.02,15.14,13376
2460641.889464,0.99333,0.00373,1.0439,1.12,-0.96,15.71,11620
2460641.890913,0.99599,0.00374,1.0417,-0.23,0.12,15.06,13284
2460641.892352,0.99356,0.00370,1.0396,0.93,-0.73,15.22,12863
2460641.893802,0.99386,0.00373,1.0376,-0.62,0.09,15.25,13786
2460641.895252,0.99335,0.00371,1.0357,1.24,-0.29,15.88,12320
2460641.896690,0.99462,0.00368,1.0338,-0.35,0.23,15.77,13683
2460641.898141,0.99883,0.00369,1.0321,0.88,0.07,15.23,13150
2460641.899591,0.99802,0.00375,1.0304,-0.31,0.44,16.19,11082
2460641.901029,0.99672,0.00371,1.0287,1.13,-0.18,15.76,12471
2460641.902479,0.99400,0.00369,1.0272,-0.20,0.28,15.43,13805
2460641.903930,0.99292,0.00370,1.0257,0.73,-0.27,15.06,14555
2460641.905368,0.99845,0.00372,1.0243,-0.57,0.80,15.44,13590
2460641.906818,0.99499,0.00371,1.0230,0.66,-0.60,15.21,13957
2460641.908268,0.99808,0.00369,1.0217,-0.11,0.55,15.58,13408
2460641.909707,1.00255,0.00368,1.0205,0.80,-0.54,15.22,13430
2460641.911157,0.99886,0.00367,1.0194,0.80,0.10,15.02,14265
2460641.912619,0.99750,0.00371,1.0184,-0.01,-0.06,16.04,12015
2460641.914057,0.99464,0.00370,1.0174,0.77,-0.69,15.77,12345
2460641.915507,0.99887,0.00368,1.0165,0.63,0.20,15.89,12934
2460641.916957,0.99754,0.00370,1.0157,0.76,-0.92,16.09,12078
2460641.918396,1.00035,0.00369,1.0149,0.53,-0.74,15.84,12887
2460641.919846,0.99267,0.00365,1.0142,0.11,-0.48,15.57,13785
2460641.921296,1.00685,0.00370,1.0136,-0.04,-0.41,16.28,14274
2460641.922746,1.00127,0.00368,1.0131,0.85,-1.41,15.30,14506
2460641.924185,0.98933,0.00369,1.0126,0.37,-1.23,15.27,15126
2460641.925635,1.00242,0.00367,1.0122,0.56,-0.83,15.34,15144
2460641.927084,0.99176,0.00366,1.0119,0.12,-0.30,15.03,15595
2460641.928533,1.00151,0.00369,1.0116,0.00,-0.41,14.91,15439
2460641.929970,0.99690,0.00367,1.0114,0.16,0.06,15.05,16050
2460641.931419,0.99174,0.00369,1.0113,0.68,0.91,15.53,13930
