BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460641.872949,0.99610,0.00250,1.0745,-0.62,0.16,14.28,13658
2460641.873185,1.00115,0.00250,1.0740,-0.91,-1.78,14.40,13021
2460641.873422,0.99659,0.00250,1.0735,0.93,-0.38,14.12,14387
2460641.873658,0.99482,0.00251,1.0730,2.30,-1.40,13.85,15119
2460641.873895,0.99717,0.00249,1.0725,0.53,-0.68,13.97,13147
2460641.874132,0.99451,0.00250,1.0720,-0.27,0.05,13.75,14070
2460641.874369,0.99610,0.00250,1.0715,-0.33,-0.78,13.90,15703
2460641.874606,0.99538,0.00250,1.0710,0.24,-0.34,13.91,14443
2460641.874843,0.99890,0.00250,1.0705,0.27,0.27,14.01,13942
2460641.875073,0.99661,0.00249,1.0700,-1.93,0.39,13.78,15601
2460641.875310,0.99779,0.00249,1.0695,-2.26,0.32,13.78,14244
2460641.875547,0.99848,0.00249,1.0690,-1.65,-0.35,13.71,14106
2460641.875784,0.99477,0.00250,1.0685,-0.83,-0.88,13.98,13817
2460641.876021,0.99594,0.00250,1.0680,1.33,-1.45,13.73,14796
2460641.876258,0.99789,0.00249,1.0675,1.67,-0.82,13.65,14258
2460641.876495,0.99920,0.00250,1.0670,-0.39,0.00,13.60,15928
2460641.876732,0.99857,0.00249,1.0665,0.24,-1.03,13.67,16836
2460641.876969,0.99977,0.00251,1.0660,-0.21,-0.55,14.05,12505
2460641.877206,0.99638,0.00249,1.0656,0.32,0.23,13.78,14448
2460641.877442,0.99770,0.00249,1.0651,-1.12,1.23,13.91,13108
2460641.877679,0.99885,0.00249,1.0646,-1.92,0.00,13.91,15026
2460641.877916,0.99605,0.00250,1.0641,-2.04,-0.34,13.41,14618
2460641.878152,0.99660,0.00250,1.0637,-1.68,-0.60,13.94,12889
2460641.878389,0.99699,0.00250,1.0632,0.29,-1.17,13.87,14135
2460641.878625,1.00176,0.00250,1.0628,1.23,-1.48,13.98,13422
2460641.878862,0.99462,0.00251,1.0623,2.71,-1.65,14.26,12314
2460641.879099,1.00099,0.00250,1.0618,0.52,-0.18,13.96,12860
2460641.879329,0.99987,0.00250,1.0614,-0.33,-0.84,14.22,12859
2460641.879565,0.99800,0.00250,1.0609,-0.53,-0.50,13.88,13066
2460641.879802,0.99695,0.00250,1.0605,0.17,0.03,14.30,12342
2460641.880039,0.99564,0.00250,1.0600,-1.24,0.55,14.27,12221
2460641.880276,0.99711,0.00250,1.0596,-2.20,0.22,14.28,12889
2460641.880513,0.99851,0.00249,1.0591,-1.22,-0.06,13.86,13121
2460641.880750,1.00164,0.00250,1.0587,-1.17,-0.46,14.14,11579
2460641.880986,0.99592,0.00250,1.0582,0.18,-0.89,14.44,12217
2460641.881223,0.99595,0.00249,1.0578,0.95,-1.36,14.43,11825
