BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460641.873151,0.99750,0.00162,1.0741,0.36,-0.86,14.28,36330
2460641.873789,0.99492,0.00162,1.0727,1.99,-1.04,13.86,37943
2460641.874428,0.99743,0.00161,1.0714,0.50,-0.68,13.22,45602
2460641.875067,0.99660,0.00161,1.0700,-0.46,0.14,13.52,42528
2460641.875706,0.99683,0.00161,1.0687,-0.26,-0.72,13.63,41624
2460641.876345,0.99687,0.00162,1.0673,1.74,-0.81,13.82,38180
2460641.876985,0.99561,0.00162,1.0660,0.66,-0.68,13.39,40361
2460641.877623,0.99777,0.00161,1.0647,-0.80,0.33,13.62,38335
2460641.878262,0.99780,0.00162,1.0635,-0.17,-0.95,13.63,37406
2460641.878900,0.99685,0.00162,1.0622,2.62,-1.33,14.17,36172
2460641.879539,0.99957,0.00162,1.0610,0.43,-0.85,13.78,36968
2460641.880177,0.99619,0.00162,1.0598,-0.78,0.32,13.64,36818
2460641.880815,0.99763,0.00162,1.0586,-0.13,-0.86,13.69,35854
2460641.881454,0.99545,0.00162,1.0574,1.74,-1.31,14.20,36525
2460641.882093,0.99553,0.00161,1.0562,1.34,-0.51,13.68,35440
2460641.882731,0.99707,0.00162,1.0551,-1.21,0.84,13.59,38210
2460641.883378,0.99781,0.00161,1.0539,-0.11,-0.71,14.07,36945
2460641.884010,0.99772,0.00161,1.0528,1.72,-0.94,14.14,37447
2460641.884649,0.99418,0.00161,1.0517,0.49,-0.10,13.39,41980
2460641.885294,0.99659,0.00161,1.0506,-0.59,0.43,13.89,37531
2460641.885932,0.99513,0.00161,1.0495,-0.58,-0.51,13.92,38389
2460641.886570,0.99410,0.00161,1.0485,2.06,-0.93,13.66,40146
2460641.887208,0.99789,0.00161,1.0474,0.61,-0.69,13.39,41045
2460641.887846,0.99303,0.00161,1.0464,0.16,0.27,14.23,35330
2460641.888485,0.99620,0.00161,1.0454,-0.86,0.03,14.05,38531
2460641.889123,0.99657,0.00161,1.0444,2.12,-1.34,14.74,30972
2460641.889761,0.99845,0.00161,1.0434,0.28,-0.33,14.09,32878
2460641.890406,0.99539,0.00161,1.0425,-0.09,0.45,14.19,34585
2460641.891044,0.99585,0.00161,1.0415,-1.00,0.19,14.07,36314
2460641.891683,0.99586,0.00161,1.0406,1.36,-1.07,14.94,31678
2460641.892321,0.99515,0.00161,1.0397,0.17,0.23,13.91,36664
2460641.892960,0.99543,0.00161,1.0388,0.67,0.37,13.78,37824
2460641.893599,0.99839,0.00161,1.0379,-1.37,1.11,13.54,38567
2460641.894238,0.99729,0.00161,1.0370,-0.04,-0.28,14.13,37827
2460641.894876,0.99408,0.00161,1.0362,1.71,-0.70,15.47,31692
2460641.895514,0.99811,0.00161,1.0353,0.62,-0.09,14.02,35835
2460641.896152,0.99691,0.00160,1.0345,-0.89,1.07,13.83,38898
