BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460641.873095,0.99623,0.00112,1.0743,-0.43,-0.85,14.29,38126
2460641.873593,0.99506,0.00112,1.0732,1.30,-1.46,13.59,44932
2460641.874092,0.99743,0.00112,1.0721,0.05,-0.36,13.18,47823
2460641.874591,0.99530,0.00112,1.0710,0.27,-0.45,13.45,47302
2460641.875090,0.99578,0.00112,1.0699,-1.48,0.35,13.42,49225
2460641.875589,0.99438,0.00112,1.0689,-1.46,-0.13,13.22,46946
2460641.876087,0.99628,0.00112,1.0679,1.05,-1.14,13.28,45051
2460641.876586,0.99476,0.00112,1.0668,-0.10,-0.11,13.17,49667
2460641.877096,0.99540,0.00112,1.0658,-0.17,0.21,13.48,44263
2460641.877594,0.99812,0.00112,1.0648,-1.40,0.95,13.94,39845
2460641.878093,0.99569,0.00112,1.0638,-1.80,-0.54,13.56,44968
2460641.878591,0.99673,0.00112,1.0628,1.17,-1.39,13.52,42058
2460641.879090,0.99825,0.00112,1.0618,1.52,-1.16,13.98,39750
2460641.879600,0.99578,0.00112,1.0609,-0.13,-0.53,13.63,41145
2460641.880098,0.99568,0.00112,1.0599,-1.30,0.34,13.81,40473
2460641.880597,0.99760,0.00112,1.0590,-1.58,-0.09,13.27,39889
2460641.881095,0.99791,0.00112,1.0580,0.15,-1.07,13.96,39828
2460641.881594,0.99649,0.00112,1.0571,0.31,-0.39,13.61,43450
2460641.882092,0.99534,0.00112,1.0562,0.86,-0.73,13.68,40418
2460641.882590,0.99816,0.00112,1.0553,-1.12,0.58,13.49,44324
2460641.883100,0.99569,0.00112,1.0544,-2.31,0.07,13.90,43363
2460641.883599,0.99933,0.00112,1.0535,0.35,-0.76,13.23,45818
2460641.884097,0.99619,0.00111,1.0527,0.61,-0.18,13.84,42368
2460641.884596,0.99666,0.00112,1.0518,-0.01,-0.32,13.22,49778
2460641.885094,0.99531,0.00111,1.0509,-0.30,0.29,13.61,44105
2460641.885604,0.99648,0.00111,1.0501,-2.15,0.60,13.49,44388
2460641.886103,0.99732,0.00111,1.0493,-0.46,-0.49,13.62,44583
2460641.886601,0.99620,0.00111,1.0484,0.94,-0.51,13.36,45072
2460641.887099,0.99532,0.00111,1.0476,-0.24,-0.33,13.21,45882
2460641.887598,0.99452,0.00111,1.0468,0.34,-0.32,13.58,40996
2460641.888096,0.99716,0.00111,1.0460,-1.43,0.81,13.97,41673
2460641.888606,0.99889,0.00111,1.0452,-1.03,-0.53,13.80,43599
2460641.889105,0.99605,0.00111,1.0445,1.30,-1.27,14.18,35623
2460641.889603,0.99447,0.00111,1.0437,-0.21,-0.08,14.13,37211
2460641.890102,0.99714,0.00111,1.0429,-0.41,-0.14,14.16,34828
2460641.890601,0.99528,0.00111,1.0422,-0.96,0.97,13.58,42792
2460641.891100,0.99508,0.00111,1.0414,-1.86,0.24,13.76,38694
2460641.891610,0.99645,0.00111,1.0407,0.32,-0.51,14.14,36393
2460641.892109,0.99504,0.00111,1.0400,1.02,-0.23,14.73,36675
2460641.892608,0.99662,0.00111,1.0393,-0.63,0.00,13.47,44361
2460641.893107,0.99730,0.00111,1.0386,-0.32,1.01,13.46,45465
2460641.893605,0.99486,0.00111,1.0379,-1.94,0.98,13.44,45925
2460641.894104,0.99603,0.00111,1.0372,-1.14,0.07,13.56,44611
2460641.894615,0.99352,0.00111,1.0365,1.33,-1.13,14.18,39656
2460641.895114,0.99555,0.00111,1.0359,-0.06,0.70,13.59,42067
2460641.895613,0.99607,0.00110,1.0352,0.16,0.10,13.61,41124
2460641.896111,0.99525,0.00110,1.0346,-1.20,1.25,13.47,43459
2460641.896610,0.99779,0.00111,1.0339,-2.01,1.06,13.57,45791
2460641.897109,0.99784,0.00110,1.0333,0.01,-0.20,13.61,42135
2460641.897608,0.99609,0.00110,1.0327,0.80,-0.16,13.81,39344
2460641.898107,0.99555,0.00110,1.0321,0.07,0.06,14.03,38209
2460641.898617,0.99820,0.00111,1.0315,-0.44,0.53,13.78,41729
2460641.899116,0.99681,0.00111,1.0309,-0.87,1.38,14.87,31707
2460641.899615,0.99724,0.00111,1.0303,-1.70,0.70,14.16,36403
2460641.900114,0.99702,0.00111,1.0297,0.41,-0.12,14.37,35650
2460641.900613,0.99498,0.00111,1.0292,0.22,0.80,14.52,37152
2460641.901123,0.99558,0.00111,1.0286,0.11,-0.47,14.27,38346
2460641.901622,0.99680,0.00111,1.0281,-0.27,0.53,13.89,43255
2460641.902121,0.99504,0.00110,1.0276,-1.21,0.98,13.95,44929
2460641.902620,0.99625,0.00111,1.0270,-1.37,0.66,13.72,42259
2460641.903119,0.99708,0.00110,1.0265,0.46,-0.51,13.80,40536
2460641.903617,0.99465,0.00110,1.0260,-0.10,-0.01,14.12,40278
2460641.904128,0.99522,0.00110,1.0255,-0.42,0.23,13.69,42559
2460641.904627,0.99694,0.00110,1.0250,-0.07,0.51,13.99,42999
2460641.905126,0.99630,0.00110,1.0245,-1.89,2.06,13.83,42400
2460641.905624,0.99676,0.00110,1.0241,-1.20,0.40,13.51,45876
2460641.906123,0.99499,0.00110,1.0236,-0.27,-0.32,13.91,40501
2460641.906622,0.99702,0.00110,1.0231,0.67,-0.38,13.89,42126
2460641.907121,0.99743,0.00110,1.0227,0.28,-0.57,13.49,44776
2460641.907620,0.99645,0.00110,1.0223,0.42,0.78,13.69,46218
2460641.908119,0.99621,0.00110,1.0218,-0.65,1.10,13.62,46002
2460641.908629,0.99718,0.00110,1.0214,-1.29,1.20,14.10,37534
2460641.909128,0.99527,0.00110,1.0210,-0.59,0.12,14.47,36999
2460641.909627,0.99365,0.00110,1.0206,0.13,-0.05,13.59,43829
2460641.910126,0.99797,0.00110,1.0202,0.53,0.03,13.75,40703
2460641.910624,0.99667,0.00110,1.0198,0.00,-0.52,13.87,39514
2460641.911123,0.99863,0.00110,1.0194,0.41,-0.40,13.66,43091
2460641.911622,0.99863,0.00110,1.0191,-0.32,1.05,13.49,44160
2460641.912156,0.99640,0.00110,1.0187,-1.68,1.40,14.59,36592
2460641.912655,0.99434,0.00110,1.0184,-0.44,0.21,13.66,39033
2460641.913153,0.99616,0.00111,1.0180,0.15,-0.84,14.09,33396
2460641.913652,0.99561,0.00110,1.0177,0.79,-0.39,14.14,35237
2460641.914151,0.99546,0.00111,1.0173,0.25,0.10,14.63,35267
2460641.914650,0.99425,0.00110,1.0170,0.51,-0.36,14.19,35099
2460641.915149,0.99633,0.00110,1.0167,-0.14,0.64,14.27,37850
2460641.915648,0.99636,0.00110,1.0164,-0.13,0.58,14.32,37649
